epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2082.74,0.40191,0.2547,0.79926,0.99633,0.99634,0.99486,0.95831,0.29507,0.19921,0.71169,0.002971,0.002971,0.002971
73,2111.59,0.38744,0.2512,0.79781,0.99663,0.99684,0.99493,0.96966,0.2526,0.18451,0.70794,0.002872,0.002872,0.002872
74,2140.39,0.38699,0.25101,0.79872,0.99779,0.99732,0.99495,0.96845,0.25778,0.18687,0.70859,0.002773,0.002773,0.002773
75,2169.4,0.39029,0.24923,0.79924,0.99793,0.99864,0.9949,0.95897,0.29373,0.19308,0.71139,0.002674,0.002674,0.002674
76,2199.14,0.38408,0.24351,0.79768,0.99787,0.99728,0.99495,0.97128,0.2511,0.18352,0.70746,0.002575,0.002575,0.002575
77,2227.67,0.38056,0.24501,0.79718,0.99785,0.99801,0.99494,0.96669,0.26121,0.18726,0.70888,0.002476,0.002476,0.002476
78,2256.41,0.37592,0.24123,0.79585,0.99493,0.99539,0.9949,0.96576,0.26585,0.18854,0.70925,0.002377,0.002377,0.002377
79,2284.93,0.37315,0.24148,0.79515,0.99779,0.99703,0.9949,0.96689,0.26722,0.18725,0.70874,0.002278,0.002278,0.002278
80,2313.33,0.36743,0.23409,0.79505,0.99815,0.99687,0.99494,0.97232,0.24164,0.17434,0.70603,0.002179,0.002179,0.002179
81,2341.94,0.36867,0.23449,0.79574,0.99634,0.99655,0.99491,0.97633,0.23447,0.17607,0.70566,0.00208,0.00208,0.00208
82,2370.34,0.36301,0.23461,0.795,0.99542,0.99739,0.99493,0.96816,0.25556,0.18249,0.70864,0.001981,0.001981,0.001981
83,2398.84,0.35534,0.23185,0.79438,0.9981,0.99691,0.99495,0.97306,0.24,0.17804,0.70695,0.001882,0.001882,0.001882
84,2427.69,0.37072,0.2379,0.79544,0.99749,0.99706,0.99493,0.97382,0.23992,0.17553,0.70593,0.001783,0.001783,0.001783
85,2456.19,0.36053,0.23171,0.79425,0.99779,0.99705,0.99493,0.97172,0.24966,0.17714,0.70731,0.001684,0.001684,0.001684
86,2484.55,0.35037,0.22463,0.79377,0.9985,0.99843,0.99493,0.97189,0.25087,0.17427,0.7069,0.001585,0.001585,0.001585
87,2512.92,0.35023,0.22486,0.79336,0.99822,0.99815,0.99494,0.97438,0.24095,0.17101,0.70535,0.001486,0.001486,0.001486
88,2541.52,0.33763,0.21712,0.79183,0.99872,0.99903,0.99493,0.97851,0.21741,0.16405,0.70374,0.001387,0.001387,0.001387
89,2569.79,0.33392,0.21654,0.79179,0.99838,0.99846,0.99494,0.97893,0.22008,0.16586,0.70346,0.001288,0.001288,0.001288
90,2598.24,0.34062,0.22129,0.79207,0.99882,0.99853,0.99492,0.97937,0.21579,0.16187,0.70347,0.001189,0.001189,0.001189
91,2623.8,0.30924,0.19638,0.78629,0.9983,0.9982,0.99493,0.97893,0.21752,0.16501,0.70311,0.00109,0.00109,0.00109
92,2649.5,0.28952,0.18618,0.78228,0.99897,0.9989,0.99495,0.98092,0.20651,0.15967,0.70255,0.000991,0.000991,0.000991
93,2674.84,0.2743,0.18047,0.77943,0.99865,0.99848,0.99494,0.97749,0.22279,0.16299,0.70316,0.000892,0.000892,0.000892
94,2700.19,0.26968,0.17798,0.77896,0.99898,0.99902,0.99494,0.98262,0.20292,0.15608,0.70243,0.000793,0.000793,0.000793
95,2725.43,0.26273,0.17339,0.77735,0.99908,0.99908,0.99493,0.98169,0.20566,0.15717,0.70186,0.000694,0.000694,0.000694
96,2750.7,0.25896,0.1707,0.77719,0.99894,0.999,0.99495,0.98313,0.19995,0.15306,0.70116,0.000595,0.000595,0.000595
97,2775.98,0.253,0.16816,0.77648,0.99905,0.99921,0.99494,0.98532,0.19108,0.14982,0.70049,0.000496,0.000496,0.000496
98,2801.72,0.24826,0.16548,0.77615,0.99887,0.99919,0.99494,0.98565,0.18432,0.14781,0.70031,0.000397,0.000397,0.000397
99,2826.99,0.24379,0.16314,0.77552,0.99932,0.99927,0.99493,0.98507,0.19228,0.14761,0.70076,0.000298,0.000298,0.000298
100,2852.29,0.24059,0.16145,0.77504,0.99915,0.99927,0.99493,0.98616,0.18291,0.14592,0.69983,0.000199,0.000199,0.000199
