epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1638.35,0.36819,0.23272,0.81079,0.9961,0.99575,0.99359,0.97125,0.27479,0.18277,0.81061,0.003565,0.003565,0.003565
67,1663.11,0.35665,0.22634,0.80756,0.9959,0.99598,0.99378,0.97162,0.26321,0.17342,0.81192,0.003466,0.003466,0.003466
68,1687.77,0.36133,0.22783,0.81053,0.99553,0.99594,0.993,0.97203,0.27058,0.17419,0.8156,0.003367,0.003367,0.003367
69,1712.43,0.35578,0.22541,0.80866,0.9962,0.9958,0.99406,0.97122,0.26951,0.17461,0.81352,0.003268,0.003268,0.003268
70,1737.16,0.35605,0.22743,0.80815,0.996,0.99578,0.99384,0.97256,0.25975,0.17115,0.81144,0.003169,0.003169,0.003169
71,1761.81,0.35433,0.22639,0.80866,0.99604,0.99617,0.99351,0.97243,0.26431,0.17494,0.81292,0.00307,0.00307,0.00307
72,1786.58,0.36164,0.22762,0.80956,0.99585,0.99608,0.99336,0.97125,0.26158,0.17074,0.81337,0.002971,0.002971,0.002971
73,1811.2,0.34891,0.22147,0.80659,0.9959,0.99574,0.99384,0.9742,0.2549,0.16808,0.8117,0.002872,0.002872,0.002872
74,1835.9,0.34523,0.21687,0.80584,0.99613,0.99594,0.9938,0.97685,0.24386,0.16286,0.80927,0.002773,0.002773,0.002773
75,1860.56,0.35722,0.22214,0.8085,0.99619,0.99587,0.99405,0.97531,0.25077,0.16459,0.8097,0.002674,0.002674,0.002674
76,1885.09,0.33056,0.21244,0.80434,0.99604,0.99574,0.99414,0.97447,0.24608,0.16551,0.8083,0.002575,0.002575,0.002575
77,1909.75,0.33356,0.21522,0.80455,0.99608,0.9961,0.99406,0.97739,0.25064,0.16588,0.80989,0.002476,0.002476,0.002476
78,1934.49,0.33921,0.21966,0.80542,0.99643,0.99579,0.99383,0.96313,0.27801,0.17209,0.81495,0.002377,0.002377,0.002377
79,1959.09,0.32912,0.21467,0.80244,0.99618,0.99611,0.99369,0.97806,0.24758,0.16379,0.80947,0.002278,0.002278,0.002278
